PassengerId,Pclass,Sex,SibSp,Parch,,survived,,,,,,
892,3,1,0,0,,1,,,,,,
893,3,2,1,0,,2,,,,,,
894,2,1,0,0,,1,,,,,,female=2
895,3,1,0,0,,1,,,,,,male=1
896,3,2,1,1,,2,,,,,,
897,3,1,0,0,,1,,,,,,survived=1
898,3,2,0,0,,2,,,,,,not survived=2
899,2,1,1,1,,1,,,,,,
900,3,2,0,0,,2,,,,,,
901,3,1,2,0,,1,,,,,,
902,3,1,0,0,,1,,,,,,
903,1,1,0,0,,1,,,,,,
904,1,2,1,0,,2,,,,,,
905,2,1,1,0,,1,,,,,,
906,1,2,1,0,,2,,,,,,
907,2,2,1,0,,2,,,,,,
908,2,1,0,0,,1,,,,,,
909,3,1,0,0,,1,,,,,,
910,3,2,1,0,,2,,,,,,
911,3,2,0,0,,2,,,,,,
912,1,1,1,0,,1,,,,,,
913,3,1,0,1,,1,,,,,,
914,1,2,0,0,,2,,,,,,
915,1,1,0,1,,1,,,,,,
916,1,2,1,3,,2,,,,,,
917,3,1,1,0,,1,,,,,,
918,1,2,0,1,,2,,,,,,
919,3,1,0,0,,1,,,,,,
920,1,1,0,0,,1,,,,,,
921,3,1,2,0,,1,,,,,,
922,2,1,1,0,,1,,,,,,
923,2,1,2,0,,1,,,,,,
924,3,2,1,2,,2,,,,,,
925,3,2,1,2,,2,,,,,,
926,1,1,1,0,,1,,,,,,
927,3,1,0,0,,1,,,,,,
928,3,2,0,0,,2,,,,,,
929,3,2,0,0,,2,,,,,,
930,3,1,0,0,,1,,,,,,
931,3,1,0,0,,1,,,,,,
932,3,1,0,1,,1,,,,,,
933,1,1,0,0,,1,,,,,,
934,3,1,0,0,,1,,,,,,
935,2,2,0,0,,2,,,,,,
936,1,2,1,0,,2,,,,,,
937,3,1,0,0,,1,,,,,,
938,1,1,0,0,,1,,,,,,
939,3,1,0,0,,1,,,,,,
940,1,2,0,0,,2,,,,,,
941,3,2,0,2,,2,,,,,,
942,1,1,1,0,,1,,,,,,
943,2,1,0,0,,1,,,,,,
944,2,2,2,1,,2,,,,,,
945,1,2,3,2,,2,,,,,,
946,2,1,0,0,,1,,,,,,
947,3,1,4,1,,1,,,,,,
948,3,1,0,0,,1,,,,,,
949,3,1,0,0,,1,,,,,,
950,3,1,1,0,,1,,,,,,
951,1,2,0,0,,2,,,,,,
952,3,1,0,0,,1,,,,,,
953,2,1,0,0,,1,,,,,,
954,3,1,0,0,,1,,,,,,
955,3,2,0,0,,2,,,,,,
956,1,1,2,2,,1,,,,,,
957,2,2,0,0,,2,,,,,,
958,3,2,0,0,,2,,,,,,
959,1,1,0,0,,1,,,,,,
960,1,1,0,0,,1,,,,,,
961,1,2,1,4,,2,,,,,,
962,3,2,0,0,,2,,,,,,
963,3,1,0,0,,1,,,,,,
964,3,2,0,0,,2,,,,,,
965,1,1,0,0,,1,,,,,,
966,1,2,0,0,,2,,,,,,
967,1,1,0,0,,1,,,,,,
968,3,1,0,0,,1,,,,,,
969,1,2,2,0,,2,,,,,,
970,2,1,0,0,,1,,,,,,
971,3,2,0,0,,2,,,,,,
972,3,1,1,1,,1,,,,,,
973,1,1,1,0,,1,,,,,,
974,1,1,0,0,,1,,,,,,
975,3,1,0,0,,1,,,,,,
976,2,1,0,0,,1,,,,,,
977,3,1,1,0,,1,,,,,,
978,3,2,0,0,,2,,,,,,
979,3,2,0,0,,2,,,,,,
980,3,2,0,0,,2,,,,,,
981,2,1,1,1,,1,,,,,,
982,3,2,1,0,,2,,,,,,
983,3,1,0,0,,1,,,,,,
984,1,2,1,2,,2,,,,,,
985,3,1,0,0,,1,,,,,,
986,1,1,0,0,,1,,,,,,
987,3,1,0,0,,1,,,,,,
988,1,2,1,0,,2,,,,,,
989,3,1,0,0,,1,,,,,,
990,3,2,0,0,,2,,,,,,
991,3,1,0,0,,1,,,,,,
992,1,2,1,0,,2,,,,,,
993,2,1,1,0,,1,,,,,,
994,3,1,0,0,,1,,,,,,
995,3,1,0,0,,1,,,,,,
996,3,2,1,1,,2,,,,,,
997,3,1,0,0,,1,,,,,,
998,3,1,0,0,,1,,,,,,
999,3,1,0,0,,1,,,,,,
1000,3,1,0,0,,1,,,,,,
1001,2,1,0,0,,1,,,,,,
1002,2,1,0,0,,1,,,,,,
1003,3,2,0,0,,2,,,,,,
1004,1,2,0,0,,2,,,,,,
1005,3,2,0,0,,2,,,,,,
1006,1,2,1,0,,2,,,,,,
1007,3,1,1,0,,1,,,,,,
1008,3,1,0,0,,1,,,,,,
1009,3,2,1,1,,2,,,,,,
1010,1,1,0,0,,1,,,,,,
1011,2,2,1,0,,2,,,,,,
1012,2,2,0,0,,2,,,,,,
1013,3,1,1,0,,1,,,,,,
1014,1,2,1,0,,2,,,,,,
1015,3,1,0,0,,1,,,,,,
1016,3,1,0,0,,1,,,,,,
1017,3,2,0,1,,2,,,,,,
1018,3,1,0,0,,1,,,,,,
1019,3,2,2,0,,2,,,,,,
1020,2,1,0,0,,1,,,,,,
1021,3,1,0,0,,1,,,,,,
1022,3,1,0,0,,1,,,,,,
1023,1,1,0,0,,1,,,,,,
1024,3,2,0,4,,2,,,,,,
1025,3,1,1,0,,1,,,,,,
1026,3,1,0,0,,1,,,,,,
1027,3,1,0,0,,1,,,,,,
1028,3,1,0,0,,1,,,,,,
1029,2,1,0,0,,1,,,,,,
1030,3,2,0,0,,2,,,,,,
1031,3,1,1,6,,1,,,,,,
1032,3,2,5,2,,2,,,,,,
1033,1,2,0,0,,2,,,,,,
1034,1,1,1,3,,1,,,,,,
1035,2,1,0,0,,1,,,,,,
1036,1,1,0,0,,1,,,,,,
1037,3,1,3,0,,1,,,,,,
1038,1,1,0,0,,1,,,,,,
1039,3,1,0,0,,1,,,,,,
1040,1,1,0,0,,1,,,,,,
1041,2,1,1,1,,1,,,,,,
1042,1,2,0,1,,2,,,,,,
1043,3,1,0,0,,1,,,,,,
1044,3,1,0,0,,1,,,,,,
1045,3,2,0,2,,2,,,,,,
1046,3,1,4,2,,1,,,,,,
1047,3,1,0,0,,1,,,,,,
1048,1,2,0,0,,2,,,,,,
1049,3,2,0,0,,2,,,,,,
1050,1,1,0,0,,1,,,,,,
1051,3,2,0,2,,2,,,,,,
1052,3,2,0,0,,2,,,,,,
1053,3,1,1,1,,1,,,,,,
1054,2,2,0,0,,2,,,,,,
1055,3,1,0,0,,1,,,,,,
1056,2,1,0,0,,1,,,,,,
1057,3,2,1,1,,2,,,,,,
1058,1,1,0,0,,1,,,,,,
1059,3,1,2,2,,1,,,,,,
1060,1,2,0,0,,2,,,,,,
1061,3,2,0,0,,2,,,,,,
1062,3,1,0,0,,1,,,,,,
1063,3,1,0,0,,1,,,,,,
1064,3,1,1,0,,1,,,,,,
1065,3,1,0,0,,1,,,,,,
1066,3,1,1,5,,1,,,,,,
1067,2,2,0,2,,2,,,,,,
1068,2,2,0,0,,2,,,,,,
1069,1,1,1,0,,1,,,,,,
1070,2,2,0,3,,2,,,,,,
1071,1,2,0,2,,2,,,,,,
1072,2,1,0,0,,1,,,,,,
1073,1,1,1,1,,1,,,,,,
1074,1,2,1,0,,2,,,,,,
1075,3,1,0,0,,1,,,,,,
1076,1,2,1,1,,2,,,,,,
1077,2,1,0,0,,1,,,,,,
1078,2,2,0,1,,2,,,,,,
1079,3,1,2,0,,1,,,,,,
1080,3,2,8,2,,2,,,,,,
1081,2,1,0,0,,1,,,,,,
1082,2,1,1,0,,1,,,,,,
1083,1,1,0,0,,1,,,,,,
1084,3,1,1,1,,1,,,,,,
1085,2,1,0,0,,1,,,,,,
1086,2,1,0,2,,1,,,,,,
1087,3,1,0,0,,1,,,,,,
1088,1,1,0,2,,1,,,,,,
1089,3,2,0,0,,2,,,,,,
1090,2,1,0,0,,1,,,,,,
1091,3,2,0,0,,2,,,,,,
1092,3,2,0,0,,2,,,,,,
1093,3,1,0,2,,1,,,,,,
1094,1,1,1,0,,1,,,,,,
1095,2,2,1,1,,2,,,,,,
1096,2,1,0,0,,1,,,,,,
1097,1,1,0,0,,1,,,,,,
1098,3,2,0,0,,2,,,,,,
1099,2,1,0,0,,1,,,,,,
1100,1,2,0,0,,2,,,,,,
1101,3,1,0,0,,1,,,,,,
1102,3,1,0,0,,1,,,,,,
1103,3,1,0,0,,1,,,,,,
1104,2,1,0,0,,1,,,,,,
1105,2,2,1,0,,2,,,,,,
1106,3,2,4,2,,2,,,,,,
1107,1,1,0,0,,1,,,,,,
1108,3,2,0,0,,2,,,,,,
1109,1,1,1,1,,1,,,,,,
1110,1,2,1,1,,2,,,,,,
1111,3,1,0,0,,1,,,,,,
1112,2,2,1,0,,2,,,,,,
1113,3,1,0,0,,1,,,,,,
1114,2,2,0,0,,2,,,,,,
1115,3,1,0,0,,1,,,,,,
1116,1,2,0,0,,2,,,,,,
1117,3,2,0,2,,2,,,,,,
1118,3,1,0,0,,1,,,,,,
1119,3,2,0,0,,2,,,,,,
1120,3,1,0,0,,1,,,,,,
1121,2,1,0,0,,1,,,,,,
1122,2,1,0,0,,1,,,,,,
1123,1,2,0,0,,2,,,,,,
1124,3,1,1,0,,1,,,,,,
1125,3,1,0,0,,1,,,,,,
1126,1,1,1,0,,1,,,,,,
1127,3,1,0,0,,1,,,,,,
1128,1,1,1,0,,1,,,,,,
1129,3,1,0,0,,1,,,,,,
1130,2,2,1,1,,2,,,,,,
1131,1,2,1,0,,2,,,,,,
1132,1,2,0,0,,2,,,,,,
1133,2,2,0,2,,2,,,,,,
1134,1,1,1,1,,1,,,,,,
1135,3,1,0,0,,1,,,,,,
1136,3,1,1,2,,1,,,,,,
1137,1,1,1,0,,1,,,,,,
1138,2,2,0,0,,2,,,,,,
1139,2,1,1,1,,1,,,,,,
1140,2,2,1,0,,2,,,,,,
1141,3,2,1,0,,2,,,,,,
1142,2,2,1,2,,2,,,,,,
1143,3,1,0,0,,1,,,,,,
1144,1,1,1,0,,1,,,,,,
1145,3,1,0,0,,1,,,,,,
1146,3,1,0,0,,1,,,,,,
1147,3,1,0,0,,1,,,,,,
1148,3,1,0,0,,1,,,,,,
1149,3,1,0,0,,1,,,,,,
1150,2,2,0,0,,2,,,,,,
1151,3,1,0,0,,1,,,,,,
1152,3,1,1,0,,1,,,,,,
1153,3,1,0,0,,1,,,,,,
1154,2,2,0,2,,2,,,,,,
1155,3,2,1,1,,2,,,,,,
1156,2,1,0,0,,1,,,,,,
1157,3,1,0,0,,1,,,,,,
1158,1,1,0,0,,1,,,,,,
1159,3,1,0,0,,1,,,,,,
1160,3,2,0,0,,2,,,,,,
1161,3,1,0,0,,1,,,,,,
1162,1,1,0,0,,1,,,,,,
1163,3,1,0,0,,1,,,,,,
1164,1,2,1,0,,2,,,,,,
1165,3,2,1,0,,2,,,,,,
1166,3,1,0,0,,1,,,,,,
1167,2,2,1,0,,2,,,,,,
1168,2,1,0,0,,1,,,,,,
1169,2,1,1,0,,1,,,,,,
1170,2,1,1,0,,1,,,,,,
1171,2,1,0,0,,1,,,,,,
1172,3,2,0,0,,2,,,,,,
1173,3,1,1,1,,1,,,,,,
1174,3,2,0,0,,2,,,,,,
1175,3,2,1,1,,2,,,,,,
1176,3,2,1,1,,2,,,,,,
1177,3,1,0,0,,1,,,,,,
1178,3,1,0,0,,1,,,,,,
1179,1,1,1,0,,1,,,,,,
1180,3,1,0,0,,1,,,,,,
1181,3,1,0,0,,1,,,,,,
1182,1,1,0,0,,1,,,,,,
1183,3,2,0,0,,2,,,,,,
1184,3,1,0,0,,1,,,,,,
1185,1,1,1,1,,1,,,,,,
1186,3,1,0,0,,1,,,,,,
1187,3,1,0,0,,1,,,,,,
1188,2,2,1,2,,2,,,,,,
1189,3,1,2,0,,1,,,,,,
1190,1,1,0,0,,1,,,,,,
1191,3,1,0,0,,1,,,,,,
1192,3,1,0,0,,1,,,,,,
1193,2,1,0,0,,1,,,,,,
1194,2,1,0,1,,1,,,,,,
1195,3,1,0,0,,1,,,,,,
1196,3,2,0,0,,2,,,,,,
1197,1,2,1,1,,2,,,,,,
1198,1,1,1,2,,1,,,,,,
1199,3,1,0,1,,1,,,,,,
1200,1,1,1,1,,1,,,,,,
1201,3,2,1,0,,2,,,,,,
1202,3,1,0,0,,1,,,,,,
1203,3,1,0,0,,1,,,,,,
1204,3,1,0,0,,1,,,,,,
1205,3,2,0,0,,2,,,,,,
1206,1,2,0,0,,2,,,,,,
1207,3,2,0,0,,2,,,,,,
1208,1,1,1,0,,1,,,,,,
1209,2,1,0,0,,1,,,,,,
1210,3,1,0,0,,1,,,,,,
1211,2,1,2,0,,1,,,,,,
1212,3,1,0,0,,1,,,,,,
1213,3,1,0,0,,1,,,,,,
1214,2,1,0,0,,1,,,,,,
1215,1,1,0,0,,1,,,,,,
1216,1,2,0,0,,2,,,,,,
1217,3,1,0,0,,1,,,,,,
1218,2,2,2,1,,2,,,,,,
1219,1,1,0,0,,1,,,,,,
1220,2,1,1,0,,1,,,,,,
1221,2,1,0,0,,1,,,,,,
1222,2,2,0,2,,2,,,,,,
1223,1,1,0,0,,1,,,,,,
1224,3,1,0,0,,1,,,,,,
1225,3,2,1,1,,2,,,,,,
1226,3,1,0,0,,1,,,,,,
1227,1,1,0,0,,1,,,,,,
1228,2,1,0,0,,1,,,,,,
1229,3,1,0,2,,1,,,,,,
1230,2,1,0,0,,1,,,,,,
1231,3,1,0,0,,1,,,,,,
1232,2,1,0,0,,1,,,,,,
1233,3,1,0,0,,1,,,,,,
1234,3,1,1,9,,1,,,,,,
1235,1,2,0,1,,2,,,,,,
1236,3,1,1,1,,1,,,,,,
1237,3,2,0,0,,2,,,,,,
1238,2,1,0,0,,1,,,,,,
1239,3,2,0,0,,2,,,,,,
1240,2,1,0,0,,1,,,,,,
1241,2,2,0,0,,2,,,,,,
1242,1,2,0,1,,2,,,,,,
1243,2,1,0,0,,1,,,,,,
1244,2,1,0,0,,1,,,,,,
1245,2,1,1,2,,1,,,,,,
1246,3,2,1,2,,2,,,,,,
1247,1,1,0,0,,1,,,,,,
1248,1,2,2,0,,2,,,,,,
1249,3,1,0,0,,1,,,,,,
1250,3,1,0,0,,1,,,,,,
1251,3,2,1,0,,2,,,,,,
1252,3,1,8,2,,1,,,,,,
1253,2,2,1,1,,2,,,,,,
1254,2,2,0,0,,2,,,,,,
1255,3,1,0,0,,1,,,,,,
1256,1,2,1,0,,2,,,,,,
1257,3,2,1,9,,2,,,,,,
1258,3,1,1,0,,1,,,,,,
1259,3,2,0,0,,2,,,,,,
1260,1,2,0,1,,2,,,,,,
1261,2,1,0,0,,1,,,,,,
1262,2,1,1,0,,1,,,,,,
1263,1,2,0,0,,2,,,,,,
1264,1,1,0,0,,1,,,,,,
1265,2,1,0,0,,1,,,,,,
1266,1,2,1,1,,2,,,,,,
1267,1,2,0,0,,2,,,,,,
1268,3,2,2,0,,2,,,,,,
1269,2,1,0,0,,1,,,,,,
1270,1,1,0,0,,1,,,,,,
1271,3,1,4,2,,1,,,,,,
1272,3,1,0,0,,1,,,,,,
1273,3,1,0,0,,1,,,,,,
1274,3,2,0,0,,2,,,,,,
1275,3,2,1,0,,2,,,,,,
1276,2,1,0,0,,1,,,,,,
1277,2,2,1,2,,2,,,,,,
1278,3,1,0,0,,1,,,,,,
1279,2,1,0,0,,1,,,,,,
1280,3,1,0,0,,1,,,,,,
1281,3,1,3,1,,1,,,,,,
1282,1,1,0,0,,1,,,,,,
1283,1,2,0,1,,2,,,,,,
1284,3,1,0,2,,1,,,,,,
1285,2,1,0,0,,1,,,,,,
1286,3,1,3,1,,1,,,,,,
1287,1,2,1,0,,2,,,,,,
1288,3,1,0,0,,1,,,,,,
1289,1,2,1,1,,2,,,,,,
1290,3,1,0,0,,1,,,,,,
1291,3,1,0,0,,1,,,,,,
1292,1,2,0,0,,2,,,,,,
1293,2,1,1,0,,1,,,,,,
1294,1,2,0,1,,2,,,,,,
1295,1,1,0,0,,1,,,,,,
1296,1,1,1,0,,1,,,,,,
1297,2,1,0,0,,1,,,,,,
1298,2,1,1,0,,1,,,,,,
1299,1,1,1,1,,1,,,,,,
1300,3,2,0,0,,2,,,,,,
1301,3,2,1,1,,2,,,,,,
1302,3,2,0,0,,2,,,,,,
1303,1,2,1,0,,2,,,,,,
1304,3,2,0,0,,2,,,,,,
1305,3,1,0,0,,1,,,,,,
1306,1,2,0,0,,2,,,,,,
1307,3,1,0,0,,1,,,,,,
1308,3,1,0,0,,1,,,,,,
1309,3,1,1,1,,1,,,,,,
